,130,130-1,14,179,191,198,203-1,209,210,218,228,235,243,285,289,289-1,290,290-1,290-4,290-5,292,293,295,295-3,309,328,333-1,339,341,342,343,346,349,350,352,354,356,357,359,361,361-1,361-2,361-4,363,364,365,366,367,368,369,369-1,370,371,375,389,391,406,411,424,426,430,431,435
228,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
243,6,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,3,0,6,6,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
285,11,0,8,0,0,0,0,0,0,3,0,0,0,36,8,0,0,0,6,7,0,4,7,4,2,0,2,4,6,9,0,0,0,0,0,0,0,23,0,14,18,0,12,0,0,0,0,2,5,4,6,0,0,0,0,0,0,7,0,0,0,0,0
289,10,0,14,0,0,0,0,0,0,2,0,0,0,8,85,0,5,0,14,4,0,2,35,13,25,0,7,0,6,6,0,0,0,0,0,0,16,15,4,5,16,0,7,0,3,0,0,2,9,3,0,0,0,0,0,0,0,8,0,0,0,0,0
289-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,6,7,7,0,0,0,0,8,7,7,8,7,0,0,0,0,0,0,0,0,0,0,0
290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,31,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,8,15,25,7,0,0,0,0,7,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0
290-4,12,0,0,0,0,0,0,0,0,2,0,0,0,6,14,0,3,0,29,5,0,4,4,4,6,0,0,0,0,4,0,0,0,0,0,0,3,7,7,14,11,0,6,0,0,0,0,3,5,0,5,0,0,0,0,0,0,2,0,0,0,0,0
290-5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,5,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,9,0,5,11,0,9,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,45,0,0,0,4,0,3,0,0,10,0,0,0,4,2,0,0,0,4,0,4,269,7,7,4,2,0,5,6,41,0,0,0,2,2,0,6,7,0,21,22,4,5,2,9,0,3,12,23,20,5,3,0,0,0,0,0,15,0,0,0,0,0
295,8,0,12,0,0,0,0,0,0,9,0,0,0,7,35,0,2,0,4,0,0,7,92,6,9,0,14,9,9,11,0,0,0,0,0,0,16,9,3,5,8,0,2,0,4,0,0,2,8,8,0,2,0,0,0,0,0,15,0,0,0,0,0
295-3,6,0,0,0,0,0,0,0,0,3,0,0,0,4,13,0,2,0,4,2,0,7,6,26,3,0,0,4,4,6,0,0,0,0,0,0,2,6,2,6,5,0,4,0,2,0,0,0,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0
309,6,0,3,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,6,2,0,4,9,3,40,0,0,3,0,5,0,0,0,0,0,0,12,3,0,5,9,0,3,0,0,0,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0
328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,43,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
333-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,14,0,0,0,15,2,0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
